PM2.5,PM10,NO,NO2,NOx,CO,SO2,AQI
0.043508,0.118118,0.01907,0.055743,0.059192,0.042489,0.060459,0.081532
0.046866,0.118118,0.019121,0.055356,0.058914,0.042603,0.05788,0.079568
0.069098,0.118118,0.019326,0.055025,0.058829,0.043058,0.042301,0.08055
0.035054,0.118118,0.018635,0.055936,0.058957,0.041522,0.033015,0.079568
0.041192,0.118118,0.018763,0.055853,0.058978,0.041806,0.047253,0.079077
0.035749,0.118118,0.018917,0.055467,0.058829,0.042148,0.049678,0.081532
0.038255,0.118118,0.018661,0.055577,0.0587,0.041579,0.054888,0.08055
0.040328,0.118118,0.018917,0.055632,0.058957,0.042148,0.048078,0.082024
0.040486,0.118118,0.031639,0.054279,0.064196,0.070417,0.053443,0.128193
0.041655,0.118118,0.044258,0.040944,0.068751,0.098459,0.055455,0.145874
0.065003,0.118118,0.044079,0.040889,0.068558,0.09806,0.063864,0.142436
0.045455,0.118118,0.0439,0.040889,0.068409,0.097662,0.060201,0.141945
0.035128,0.118118,0.043772,0.040999,0.068387,0.097378,0.066804,0.141945
0.038802,0.118118,0.04367,0.040972,0.06828,0.09715,0.024349,0.141945
0.038234,0.118118,0.043746,0.040806,0.068216,0.097321,0.045654,0.141945
0.034318,0.118118,0.043491,0.040944,0.068109,0.096752,0.036317,0.141945
0.040202,0.118118,0.043644,0.041082,0.068345,0.097093,0.056177,0.141945
0.041918,0.118118,0.043414,0.040917,0.068024,0.096582,0.051638,0.141454
0.07653,0.118118,0.043567,0.040944,0.068174,0.096923,0.021769,0.141945
0.045434,0.118118,0.043593,0.040999,0.068238,0.09698,0.030694,0.141945
0.066488,0.118118,0.043542,0.040889,0.068109,0.096866,0.018984,0.141945
0.068098,0.118118,0.043491,0.040889,0.068067,0.096752,0.033222,0.141945
0.068677,0.118118,0.043567,0.040972,0.068195,0.096923,0.031571,0.141454
0.071393,0.118118,0.043388,0.041027,0.068088,0.096525,0.045705,0.141945
0.055119,0.118118,0.043388,0.040861,0.06796,0.096525,0.050967,0.141454
0.035044,0.118118,0.043337,0.041082,0.068088,0.096411,0.03544,0.141945
0.031033,0.118118,0.043311,0.041055,0.068045,0.096354,0.044106,0.141454
0.016306,0.118118,0.043465,0.040972,0.068109,0.096695,0.077998,0.141454
0.060498,0.118118,0.041699,0.140502,0.143746,0.092771,0.044983,0.075375
0.052845,0.118118,0.024164,0.033959,0.046554,0.053808,0.059943,0.104617
0.064982,0.118118,0.022168,0.042573,0.051536,0.049371,0.041733,0.129175
0.04936,0.118118,0.018226,0.03164,0.039796,0.040612,0.040805,0.096267
0.045234,0.118118,0.017406,0.027471,0.035883,0.038792,0.059685,0.081532
0.044234,0.118118,0.021528,0.031309,0.042298,0.047949,0.059943,0.090373
0.047266,0.118118,0.018226,0.030177,0.038642,0.040612,0.030126,0.10609
0.031096,0.118118,0.016869,0.027416,0.035391,0.037597,0.045448,0.077112
0.033802,0.118118,0.016587,0.026753,0.034643,0.036972,0.047408,0.074165
0.038202,0.118118,0.019608,0.035533,0.043966,0.043684,0.042662,0.089391
0.025707,0.118118,0.021579,0.030315,0.041571,0.048063,0.064896,0.10167
0.070962,0.118118,0.044936,0.078826,0.069091,0.01279,0.074913,0.075375
0.028465,0.118118,0.025419,0.033793,0.047452,0.056595,0.049007,0.075375
0.062372,0.118118,0.023524,0.026698,0.040395,0.052386,0.030797,0.100196
0.068719,0.118118,0.027108,0.026532,0.043261,0.060349,0.018984,0.118369
0.049845,0.118118,0.023652,0.028907,0.042213,0.05267,0.039773,0.111984
0.04615,0.118118,0.022193,0.0545,0.060817,0.049428,0.024865,0.113458
0.029802,0.118118,0.023115,0.037576,0.0485,0.051476,0.038483,0.112967
0.003737,0.118118,0.028772,0.039094,0.054402,0.064046,0.049471,0.113458
0.003158,0.118118,0.041699,0.059332,0.080855,0.092771,0.070776,0.154224
0.020106,0.118118,0.026391,0.084456,0.087526,0.058757,0.056487,0.185167
0.07272,0.118118,0.022603,0.089453,0.088232,0.050338,0.080578,0.107073
0.080394,0.118118,0.045922,0.095776,0.112632,0.102156,0.079598,0.188114
0.107848,0.118118,0.085215,0.104473,0.152193,0.189466,0.140882,0.352652
0.134639,0.118118,0.028465,0.078327,0.084511,0.063364,0.131958,0.222495
0.091731,0.118118,0.019992,0.059359,0.062742,0.044537,0.035956,0.106582
0.104942,0.118118,0.051554,0.083435,0.107756,0.114669,0.168842,0.145383
0.088542,0.118118,0.04047,0.088597,0.102496,0.09004,0.099871,0.248527
0.096931,0.118118,0.046562,0.089702,0.10844,0.103578,0.163735,0.188605
0.098932,0.118118,0.069421,0.102043,0.137096,0.154371,0.128295,0.247544
0.158145,0.118118,0.040649,0.096218,0.108569,0.090439,0.135878,0.314342
